statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version
"A Empresa Brasileira de Serviços Hospitalares (Ebserh) é uma empresa pública vinculada ao Ministério da Educação, criada pela Lei Federal nº 12.550/2011. A respeito de suas finalidades, analise as afirmativas a seguir e assinale (V) para a verdadeira e (F) para a falsa. ( ) Oferecer suporte ao Sistema Único de Saúde (SUS): a empresa contribui para o atendimento da população por meio dos hospitais universitários. ( ) Administrar hospitais universitários federais: a Ebserh gerencia e aprimora a infraestrutura e os serviços dos hospitais vinculados às universidades federais que estabeleceram contrato com ela. ( ) Apoiar o ensino e a pesquisa: a empresa valoriza e ampara o ensino-aprendizagem e a formação de pessoas no campo da saúde pública em instituições federais de ensino superior e em instituições congêneres. As afirmativas são, respectivamente,",V – F – V.,F – V – V.,V – V – F.,V – F – F.,V – V – V.,E,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,legislacao-aplicada-a-ebserh,lei-12550-2011,2025,"As tres finalidades descritas - apoio ao SUS, gestao de hospitais universitarios federais e apoio ao ensino/pesquisa - correspondem, cada uma, a atribuicoes efetivamente previstas para a Ebserh na Lei 12.550/2011, sendo todas verdadeiras.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,11,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Segundo o Regimento Interno da Ebserh, a estrutura organizacional da empresa conta com Colegiados Internos, que têm a função de atender a necessidades que não possam ser resolvidas isoladamente pelas áreas organizacionais. Os Colegiados Internos são classificados em função de sua duração e atribuição, como nos exemplos a seguir. I. É de duração perene, atua de forma consultiva no nível tático, composto por profissionais de referência na área de atuação, analisando detalhadamente temas específicos e de grande amplitude, como padronizações técnicas e definições de melhores práticas. II. É de duração temporária, atua de forma consultiva ou executiva no nível técnico operacional, na execução de ações ou projetos específicos, com prazo preestabelecido, propondo soluções para problemas determinados ou executando ações transversais que envolvam mais de uma área organizacional. Os trechos I e II se referem, respectivamente, aos Colegiados Internos organizados sob a forma de",Comissão e Escritório.,Comitê e Centro de Competência.,Centro de Competência e Comissão.,Câmara Técnica e Grupo de Trabalho.,Núcleo Técnico Operacional e Comitê.,D,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,legislacao-aplicada-a-ebserh,regimento-interno-da-administracao-central,2025,"O trecho I descreve um colegiado permanente e consultivo dedicado a padronizacoes tecnicas, perfil da Camara Tecnica; o trecho II descreve um colegiado temporario, criado para executar um projeto com prazo definido, perfil do Grupo de Trabalho.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,12,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"A Lei nº 12.550/2011 e o Regulamento de Pessoal da Empresa Brasileira de Serviços Hospitalares (Ebserh) disponibilizam normativas a respeito dos integrantes do quadro de pessoal da Empresa. Considerando as normas citadas, é correto afirmar que a Ebserh está autorizada a","admitir profissional qualificado para realização de serviços técnicos especializados, por meio de indicação.","recrutar terceirizados para funções gratificadas em unidades hospitalares, mediante processo seletivo simplificado.","selecionar pessoal técnico e administrativo por tempo indeterminado, mediante concurso público.","contratar empregados temporários, observado o prazo máximo de seis anos, mediante prestação de serviços.","obter servidores titulares de cargo efetivo em exercício em instituição federal de ensino que possui contrato com a Empresa, mediante solicitação de cessão.",C,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,legislacao-aplicada-a-ebserh,regulamento-de-pessoal-da-ebserh,2025,"O Regulamento de Pessoal da Ebserh preve a selecao de pessoal por concurso publico para cargos de tempo indeterminado, vedando contratacoes por indicacao ou processos simplificados fora dessa regra.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,13,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"A partir da sua criação, a Ebserh passou a ser a responsável pela gestão de hospitais universitários federais, finalidade planejada e implementada mediante o Conselho de Administração, um dos seus principais órgãos administrativos. Segundo o Estatuto Social da Ebserh, o Conselho de Administração é um órgão colegiado composto por nove membros. A respeito desses membros, assinale a afirmativa correta.","Um membro é o Presidente da Empresa, que ocupa a presidência executiva do conselho.","Um membro é indicado pelo Ministro da Gestão e da Inovação em Serviços Público, sendo obrigatoriamente diretor de hospital universitário federal.","Três membros são indicados pelo Ministro da Educação, dos quais um será o Presidente do Conselho e outro, o substituto em suas ausências e seus impedimentos.","Um membro é reitor de universidade federal, eleito para o cargo pela Associação Nacional dos Docentes das Instituições Federais de Ensino Superior.","Dois membros são representantes dos empregados, eleitos para participar das deliberações sobre assuntos que envolvam relações sindicais, remuneração e questões de previdência.",C,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,legislacao-aplicada-a-ebserh,estatuto-da-ebserh,2025,"O Estatuto Social preve que tres dos nove membros do Conselho de Administracao sao indicados pelo Ministro da Educacao, um deles assumindo a presidencia do colegiado e outro a suplencia.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,14,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"A Comissão de Ética da Ebserh (CEE) está encarregada de orientar e aconselhar sobre as questões éticas dos colaboradores da instituição, no tratamento com as pessoas e com o patrimônio público. A CEE é um órgão autônomo, de caráter","deliberativo, cabendo-lhe deliberar sobre condutas antiéticas e sobre as transgressões das normas da Ebserh levadas ao seu conhecimento.","consultivo, sendo de sua alçada o controle social e o apoio à Diretoria Executiva e ao Conselho de Administração na aplicação de eventuais medidas disciplinares.","fiscalizador, cabendo-lhe inspecionar o cumprimento do limite de participação da empresa no custeio dos benefícios de assistência à saúde e de previdência complementar.","orientador, pertencendo-lhe assessorar o Conselho de Administração nos processos de indicação, avaliação e remuneração dos administradores, conselheiros fiscais e demais membros de órgãos estatutários.","assessorial, sendo de sua responsabilidade monitorar exposições de risco da Ebserh, podendo requerer, entre outras, informações detalhadas sobre políticas e procedimentos considerados impróprios.",A,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,legislacao-aplicada-a-ebserh,codigo-de-etica-e-conduta-da-ebserh,2025,"Segundo as normas internas da Ebserh, a Comissao de Etica e orgao autonomo de carater deliberativo, cabendo-lhe efetivamente decidir sobre condutas antieticas e transgressoes das normas da Ebserh levadas ao seu conhecimento.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,15,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"O controle social democrático das políticas de saúde no Brasil se dá, sobretudo, no âmbito dos Conselhos de Saúde e das Conferências de Saúde. Assinale a opção correta no que diz respeito às características e atribuições desses espaços.","Os Conselhos de Saúde são organizados de maneira centralizada, respondendo diretamente às determinações do governo via Conselho Nacional de Saúde.","As Conferências de Saúde ocorrem com regularidade anual no nível nacional, abordando temas determinados em cada evento do ano anterior.","Os Conselhos de Saúde são órgãos colegiados e permanentes, responsáveis diretamente pela execução dos serviços de saúde no território nacional.","As Conferências de Saúde municipais e estaduais ocorrem como etapas prévias da Conferência Nacional, aprovando propostas a serem discutidas nesta.","Os Conselhos de Saúde estão distribuídos nos níveis federal, estadual e municipal, funcionando de maneira subordinada ao executivo de cada unidade administrativa.",D,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,legislacao-do-sus,resolucao-453-2012-conselhos-de-saude,2025,"As Conferencias de Saude organizam-se em etapas ascendentes - municipal, estadual e, por fim, nacional -, sendo as conferencias locais e estaduais preparatorias, com suas propostas seguindo para apreciacao na Conferencia Nacional.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,16,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Com relação à construção histórica do Sistema Único de Saúde (SUS), avalie as afirmativas a seguir e assinale (V) para a verdadeira e (F) para a falsa. ( ) O SUS foi criado inicialmente durante o Governo Vargas, voltado, a princípio, apenas para o atendimento aos trabalhadores da economia formal e suas famílias. ( ) A Constituição Federal de 1988 introduziu o fundamento da universalização do SUS e estabeleceu a integração dos serviços públicos de saúde em uma rede regionalizada e hierarquizada. ( ) O projeto inicial do sistema previa a sua evolução para o Sistema Unificado e Descentralizado de Saúde (SUDS), cuja execução permanece em aberto e em progresso. As afirmativas são, respectivamente,",F – V – F.,F – V – V.,V – F – F.,V – V – F.,F – F – V.,A,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,legislacao-do-sus,constituicao-federal-1988-seguridade-social,2025,"O SUS nao foi criado no Governo Vargas, e sim pela Constituicao de 1988, que consagrou sua universalizacao (afirmativa I falsa, II verdadeira); o SUDS foi uma proposta anterior a CF-88, ja superada, e nao um processo em aberto e em progresso atualmente (III falsa) - padrao F-V-F.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,17,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Leia o trecho a seguir a respeito da insurgência ocorrida no início do século XX durante a campanha de vacinação contra a varíola. A Revolta da Vacina permanece como exemplo quase único na história do país de movimento popular de êxito baseado na defesa do direito dos cidadãos de não serem arbitrariamente tratados pelo governo. Mesmo que a vitória não tenha sido traduzida em mudanças políticas imediatas além da interrupção da vacinação, ela certamente deixou entre os que dela participaram um sentimento profundo de orgulho e de autoestima, passo importante na formação da cidadania. CARVALHO, José Murilo de. Os bestializados. São Paulo: Companhia das Letras, 2019. Segundo o autor, essa situação é exemplar da tensão entre",ciência médica e ignorância popular diante das políticas de saúde.,práticas higienistas e liberdade individual na saúde pública.,passividade das camadas populares e medidas coercitivas do governo.,campanhas educativas e desinformação entre a população.,resistência das elites à vacinação e rápida adesão das classes populares.,B,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,legislacao-do-sus,historico-da-previdencia-social-no-brasil,2025,"Carvalho descreve a Revolta da Vacina como reacao popular a uma medida sanitaria imposta de forma compulsoria, evidenciando a tensao entre praticas higienistas do Estado e a liberdade individual dos cidadaos.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,18,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Sobre os determinantes sociais da saúde, analise o texto seguir. Podemos afirmar que na efetivação e desenvolvimento de si os indivíduos organizam e transformam grupos humanos nos mais diversos níveis e, de um modo ou de outro, a própria humanidade. Dessa forma, para os próprios indivíduos, que são concentrações vivas e pontos de interação da rede social, a transformação da sociedade resulta em novas condições de ser, novas condições de sua existência, inclusive psicofisiológica; portanto, de sua saúde. BRONZO, Carla; FLEURY-TEIXEIRA, Paulo. “Determinação social da saúde pública”. In: Determinação Social da Saúde e Reforma Sanitária. Rio de Janeiro: Cebes, 2010. Assinale a opção que identifica corretamente a ideia central do texto.",A melhoria na saúde do indivíduo ocorre como tradução fisiológica de mudanças de postura psicológica.,"O indivíduo é subordinado às características de sua realidade social, o que inclui seus modos de vida e sua saúde.",A ciência médica substitui as mudanças sociais como principal fator para o aumento da qualidade de vida da população.,"O funcionamento do organismo humano molda as regras de convivência, determinando os comportamentos coletivos.","A saúde faz parte dos efeitos do engajamento humano, o qual gera transformações históricas no âmbito da vida social.",E,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,legislacao-do-sus,determinantes-sociais-da-saude,2025,"O texto de Bronzo e Fleury-Teixeira afirma que sao os proprios individuos, em sua acao e engajamento, que transformam a sociedade e geram, como efeito dessas transformacoes historicas, novas condicoes de saude - nao que a saude resulte passivamente da realidade social ja dada.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,19,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"A respeito da possibilidade do uso da arquitetura informacional da blockchain para a gestão em saúde, leia o trecho a seguir. Um estudo da Escola Politécnica da USP propôs uma arquitetura para rastrear medicamentos hospitalares utilizando blockchain. Com a ferramenta, apenas transações validadas por uma rede descentralizada seriam registradas, garantindo maior dinamismo e segurança ao processo. No mecanismo de consenso, as entidades que fariam a validação teriam acesso às informações quando uma mercadoria fosse enviada de um lugar a outro. Uma validação centralizada também tem condições de realizar essa tarefa, porém é passível de influência humana, ou seja, uma informação já realizada pode ser alterada. CONTERNO, Ivan. Tecnologia blockchain pode reduzir risco de roubos e fraudes na área da saúde. Jornal da USP, 29/05/2023. In: https://jornal.usp.br. Adaptado. Com base no trecho, é correto afirmar que a principal vantagem de utilizar o sistema blockchain para a gestão em saúde consiste","na criação de um sistema mais eficiente, no qual um órgão unificado pode validar e modificar informações conforme necessário.","na eliminação da influência humana no processo de validação, garantindo que todas as transações sejam verificadas autonomamente.","na descentralização do registro de transações, que reduz o risco de alterações indevidas e aumenta a integridade das informações.","na capacidade de modificar registros antigos para corrigir eventuais erros, tornando a rastreabilidade mais flexível e adaptável às necessidades regulatórias.","na substituição dos mecanismos tradicionais de rastreabilidade, eliminando a necessidade de auditoria por órgãos reguladores.",C,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,legislacao-do-sus,gestao-e-organizacao-do-sus,2025,"A vantagem central destacada no texto e a descentralizacao do registro em blockchain, que impede alteracao unilateral das transacoes ja validadas, aumentando a integridade e a rastreabilidade das informacoes.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,20,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"A política regulatória dos planos privados explicita de maneira legal e institucional o fato de que os princípios do SUS de universalidade e igualdade eram formais. O modelo regulatório, da forma como foi adotado, é suplementar e não uma articulação. Sua implantação, de qualquer forma, foi separada: o modelo regula esse mercado, enquanto o SUS é outra história, com outra regulação e mecanismos decisórios totalmente díspares. São modelos e concepções diferentes: um é direito do consumidor e defende o mercado; o outro é direito de cidadania, obrigação do Estado. MENICUCCI, T. M. G. História da reforma sanitária brasileira e do Sistema Único de Saúde. História, Ciências, Saúde – Manguinhos, Rio de Janeiro, v. 21, n. 1, 2014. A criação de um sistema nacional de saúde envolve uma série de decisões políticas e organizacionais. Com base no trecho, é correto afirmar que o sistema brasileiro","adota um modelo híbrido, no qual a regulação dos planos de saúde privados se integra aos serviços públicos e forma um sistema único e coordenado em seu funcionamento.","opera com base na universalização plena da saúde, garantindo que o sistema público e os planos privados sejam regulados pelos mesmos mecanismos e princípios.","descaracteriza os princípios da universalidade e da igualdade, tornando o acesso aos serviços de saúde condicionado à contratação de assistência suplementar.","formaliza um sistema único de assistência, no qual os planos de saúde privados são considerados complementares ao serviço público e seguem sua mesma lógica de gestão.","funciona como um sistema segmentado, no qual os planos de saúde privados operam de forma paralela ao serviço público, com regulações e princípios distintos.",D,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,legislacao-do-sus,principios-e-diretrizes-do-sus,2025,"Segundo a leitura da banca a partir do trecho de Menicucci, a regulacao da saude suplementar (planos privados) formaliza-se como um sistema unico de assistencia no qual os planos privados sao tratados como complementares ao SUS dentro dessa mesma arquitetura regulatoria - leitura que corresponde ao gabarito oficial definitivo da FGV para esta questao.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,21,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"A respeito dos limites entre ciência ética, leia o relato a seguir. Em 2018, o cientista chinês He Jiankui causou controvérsia na comunidade científica quando revelou ter editado o código genético de dois embriões saudáveis com o objetivo de torná-los imunes à transmissão do HIV contraído pelos pais. O resultado foi o nascimento de duas meninas gêmeas geneticamente modificadas com a técnica de CRISPR-cas9, uma ferramenta genética que corta a sequência do DNA e o reconfigura para obter a modificação desejada. A repercussão do experimento levou à demissão e à condenação a três anos de prisão na China. Experimento chinês confronta limites entre ética e ciência, 2019, In: https://www.ipea.gov.br/. Adaptado. Considerando os princípios da bioética, assinale a afirmativa que identifica problemas éticos suscitados pelo experimento citado.","O desrespeito às normas comerciais, pois a alteração genética das bebês pode impactar o mercado de vacinas.","A inviabilidade econômica da técnica, que exige um alto investimento sem benefícios significativos.","Os riscos imprevisíveis de alterações genéticas em seres humanos, que vão produzir óvulos e espermatozoides com essa mutação.","A falha metodológica do estudo, que não seguiu protocolos científicos rigorosos para garantir a eficácia.","O comprometimento da viabilidade das futuras gerações, pois as edições genéticas causam instabilidade no DNA.",C,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,etica-e-legislacao-em-enfermagem,bioetica-principios,2025,"O experimento chines expos pacientes futuros (embrioes e sua descendencia) a riscos geneticos imprevisiveis e permanentes, uma vez que a edicao em celulas germinativas se propaga a geracoes seguintes - problema central de bioetica envolvido.",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,22,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Com relação à Atenção Primária à Saúde (APS), avalie as afirmativas a seguir. I. A APS tem o foco na diagnose e no tratamento das enfermidades, dada a dificuldade de ações preventivas na escala de sua atuação. II. A APS otimiza os atendimentos com equipes capazes de abordar as situações menos graves, evitando o encaminhamento a especialistas. III. A APS é o foco principal das iniciativas voltadas para a educação em saúde, dado que é a porta de entrada preferencial no sistema de saúde. Está correto o que se afirma em","I, II e III.","I e II, apenas.","I e III, apenas.","II e III, apenas.","III, apenas.",E,enfermeiro,fgv,concurso-publico-ebserh-assistencial-edital-3-2024,legislacao-do-sus,politica-nacional-de-atencao-basica-pnab,2025,"A APS e reconhecida como porta de entrada preferencial do sistema, funcionando como importante espaco de educacao em saude da populacao, o que corresponde apenas a afirmativa III; a APS nao e focada apenas em diagnostico/tratamento (I) nem exclui encaminhamentos quando necessarios (II teria de ser avaliada separadamente).",Empresa Brasileira de Serviços Hospitalares (EBSERH),Concurso Público EBSERH Edital 03/2024 — Enfermeiro (Grupo Enfermagem),,23,,,ACTIVE,banco-de-questoes-enfermagem,1.0
