statement,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,position,board,contest,subject,topic,year,explanation,organization,exam,page,question,references,keywords,status,package,package_version
"Texto-base (fragmento): ""Procrastinação: entenda essa inimiga. E livre-se dela."" Adiar tarefas importantes em prol de atividades inúteis é uma tendência universal, com raízes biológicas. A frase 'O homem que adia o trabalho está sempre a lutar com desastres' é da obra 'Os trabalhos e os dias', do poeta grego Hesíodo. O texto discute causas biológicas, psicológicas e sociais da procrastinação, citando a neurocientista Claudia Feitosa-Santana e o professor Joseph Ferrari, além de estratégias para vencer o hábito de adiar tarefas. (Bruno Carbinatto. Disponível em: https://vocesa.abril.com.br. Acesso em: 20/07/2023. Fragmento.)

Assinale a alternativa cujo trecho apresenta dois advérbios.",A) “Outra dica realista é aceitar um pouco de procrastinação.” (17º§),B) “O homem que adia o trabalho está sempre a lutar com desastres.” (1º§),C) “E fazer o mais difícil primeiro serve de incentivo para matar o resto […]” (15º§),"D) “Nosso cérebro é bom em escolher o que nos traz benefício no aqui e agora, [...]” (8º§)",E) “O lado primitivo do seu cérebro sempre vai preferir gastar energia e atenção com algo que traga resultado imediato.” (9º§),D,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,portugues,sintaxe,2023,"Em “Nosso cérebro é bom em escolher o que nos traz benefício no aqui e agora”, há dois advérbios de lugar/tempo (“aqui” e “agora”), caracterizando a alternativa “d”.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,4,5,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Os parâmetros mínimos para dimensionar o quantitativo de profissionais das diferentes categorias de enfermagem são referências utilizadas para orientar o planejamento do dimensionamento dos recursos humanos necessários para a execução das ações de enfermagem. Em relação ao dimensionamento do quadro de profissionais de enfermagem e, ainda, considerando a Resolução Cofen nº 543/2017, é correto afirmar que:",A) Deve-se basear em duas características: relativas ao serviço de enfermagem e relativas ao paciente.,B) O Sistema de Classificação de Pacientes (SCP) é uma forma de classificar o paciente quanto à gravidade do seu quadro.,C) O índice de segurança técnica corresponde ao percentual a ser acrescentado ao quantitativo de profissionais para assegurar que a cobertura de férias e as ausências não previstas não sejam inferiores a 10%.,"D) O referencial mínimo para o quadro de profissionais de enfermagem para as 24 horas de cada unidade de internação considera, além de outros, as horas de assistência de enfermagem e a proporção profissional/paciente.","E) É classificado como paciente de cuidados mínimos o enfermo estável sob o ponto de vista clínico e de enfermagem, com parcial dependência dos profissionais de enfermagem para o atendimento das necessidades humanas básicas.",D,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,administracao-em-enfermagem,dimensionamento-de-pessoal-de-enfermagem,2023,"A Resolução Cofen 543/2017 estabelece que o referencial mínimo para o quadro de profissionais de enfermagem nas 24 horas de cada unidade de internação considera as horas de assistência de enfermagem necessárias e a proporção profissional/paciente, entre outros fatores.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,11,35,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"A tecnologia é analisada tanto como saber quanto por seus desdobramentos materiais e não-materiais na produção dos serviços de saúde. Sabe-se que a humanização do atendimento deve estar presente nas ações de promoção da saúde, prevenção das doenças e recuperação da saúde. Considerando a classificação da tecnologia no trabalho em saúde, a humanização é classificada neste contexto como tecnologia:",A) Leve.,B) Dura.,C) Maleável.,D) Subjetiva.,E) Leve-dura.,A,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,administracao-em-enfermagem,tecnologias-leves-duras-e-leve-duras-em-saude,2023,"A humanização do atendimento é classificada como tecnologia leve, pois se refere às relações e vínculos estabelecidos no cuidado, e não a equipamentos (tecnologia dura) ou saberes estruturados (tecnologia leve-dura).",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,13,42,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Texto-base (fragmento): ""Procrastinação: entenda essa inimiga. E livre-se dela."" Adiar tarefas importantes em prol de atividades inúteis é uma tendência universal, com raízes biológicas. A frase 'O homem que adia o trabalho está sempre a lutar com desastres' é da obra 'Os trabalhos e os dias', do poeta grego Hesíodo. O texto discute causas biológicas, psicológicas e sociais da procrastinação, citando a neurocientista Claudia Feitosa-Santana e o professor Joseph Ferrari, além de estratégias para vencer o hábito de adiar tarefas. (Bruno Carbinatto. Disponível em: https://vocesa.abril.com.br. Acesso em: 20/07/2023. Fragmento.)

Em “A culpa não é (só) nossa. A procrastinação é um fenômeno universal e atemporal porque tem causas biológicas, psicológicas e sociais.” (7º§), o uso do pronome “nossa” tem como objetivo:","A) Demonstrar, de forma clara, que o leitor está acima da procrastinação.",B) Aproximar-se do leitor para convencê-lo de que a procrastinação é um problema dele.,C) Demonstrar ao leitor a sua parcela de culpa por deixar que a procrastinação o domine.,D) Alcançar o leitor e demonstrar o quanto ele e outros leitores estão sujeitos a atitudes procrastinadoras.,E) Enfatizar a possibilidade de todos terem contribuído para que a procrastinação se tornasse um fenômeno universal e atemporal.,D,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,portugues,interpretacao-de-texto,2023,"O pronome “nossa” engloba autor e leitores num mesmo grupo afetado pela procrastinação, alcançando o leitor e demonstrando que ele, como os demais, está sujeito a atitudes procrastinadoras.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,3,3,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"O enfermeiro deve implementar no seu processo de trabalho alguns instrumentos, a fim de garantir melhoria ou manutenção da qualidade do serviço. O instrumento que corresponde ao conjunto de regras e instruções para definir procedimentos, métodos e organização que orientam os executantes no cumprimento de uma atividade trata-se de:",A) Rotinas de enfermagem.,B) Normas de enfermagem.,C) Protocolos de enfermagem.,D) Regulamentos de enfermagem.,E) Procedimento Operacional Padrão (POP).,B,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,administracao-em-enfermagem,enfermeiro-gestor,2023,"As normas de enfermagem constituem o conjunto de regras e instruções que definem procedimentos, métodos e organização, orientando os executantes no cumprimento de suas atividades.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,12,39,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Razão, Taxa ou Coeficiente de mortalidade materna é um indicador aplicado na área da saúde para expressar o número de óbitos maternos por cada 100.000 nascidos vivos, em determinado espaço geográfico, no ano considerado. Em relação a tal indicador, é correto afirmar que:",A) Tem por objetivo específico refletir a qualidade da assistência à saúde da mulher no momento do parto.,B) Tem por definição o número de óbitos maternos relacionados à gravidez em uma determinada população.,"C) Para ser calculado, deve-se considerar somente a morte materna devido a qualquer causa relacionada ou agravada pela gravidez.","D) Dentre outras considerações, é utilizado para contribuir na avaliação dos níveis de saúde e de desenvolvimento socioeconômico.","E) É interpretado como a frequência de óbitos femininos em idade fértil atribuídos a causas ligadas à gravidez e ao parto, excluindo as causas ligadas ao puerpério.",D,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,saude-da-mulher,assistencia-de-enfermagem-ao-pre-natal-parto-e-puerperio,2023,"A Razão de Mortalidade Materna é utilizada, entre outras finalidades, como indicador para avaliação dos níveis de saúde e de desenvolvimento socioeconômico de uma população, refletindo condições mais amplas do que apenas a assistência ao parto.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,9,27,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"A Lei nº 7.716/1989, alcunhada como Lei do Racismo, pune todo o tipo de discriminação ou preconceito, oriundos de nacionalidade; raça; sexo; cor; e, idade. À luz da Lei em comento, assinale a afirmativa INCORRETA.","A) Aquele que injuriar alguém, ofendendo sua dignidade ou decoro, por razões de raça cor etnia ou procedência nacional poderá ser punido com pena de reclusão, de dois a cinco anos, e multa.","B) É crime previsto nesta normativa, a conduta de impedir ou obstar o acesso de alguém, devidamente habilitado, apenas aos cargos da Administração Direta e Indireta; ou, obstar a promoção funcional nas permissionárias de serviços públicos.","C) A liberdade de expressão não é absoluta em nosso país, e, em regra, não impedirá a responsabilização criminal das pessoas que emitem opiniões xenófobas e que tenham cunho discriminatório em razão de cor; raça; sexo e/ou idade nas redes sociais e nos demais meios de comunicação.","D) Ficará sujeito às penas de multa e de prestação de serviços à comunidade, incluindo atividades de promoção da igualdade racial, quem de qualquer forma, com finalidade de recrutar de trabalhadores, exigir aspectos de aparência próprios de raça ou etnia para emprego cujas atividades não justifiquem essas exigências.","E) As penas aumentadas de um terço até a metade, quando os crimes determinados nesta normativa ocorrerem em contexto ou intuito de descontração, diversão ou recreação, sendo assegurado à vítima dos crimes de racismo em todos os atos processuais, cíveis e criminais, estar acompanhada de advogado ou defensor público.",B,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,legislacao-municipal-e-institucional,direitos-fundamentais,2023,"A alternativa incorreta é a “b”: a Lei 7.716/1989 pune impedir ou obstar o acesso a cargos e promoções não apenas na Administração Direta e Indireta, mas também em estabelecimentos comerciais, educacionais e demais espaços, não se limitando ao rol restrito descrito na alternativa.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,6,14,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Texto-base (fragmento): ""Procrastinação: entenda essa inimiga. E livre-se dela."" Adiar tarefas importantes em prol de atividades inúteis é uma tendência universal, com raízes biológicas. A frase 'O homem que adia o trabalho está sempre a lutar com desastres' é da obra 'Os trabalhos e os dias', do poeta grego Hesíodo. O texto discute causas biológicas, psicológicas e sociais da procrastinação, citando a neurocientista Claudia Feitosa-Santana e o professor Joseph Ferrari, além de estratégias para vencer o hábito de adiar tarefas. (Bruno Carbinatto. Disponível em: https://vocesa.abril.com.br. Acesso em: 20/07/2023. Fragmento.)

Os termos são classificados sintaticamente de acordo com as funções que exercem dentro da oração. A partir dessa consideração, assinale a alternativa cujo trecho ou termo sublinhado exerce a mesma função que “um convite” em: “Tecnologias que facilitam a vida sempre trouxeram como efeito colateral um convite ao adiamento sem fim.” (5º§)",A) “E fazer o mais difícil primeiro serve de incentivo para matar o resto – na lógica do ‘o pior já passou’.” (15º§),"B) “A obra grega em questão é tão antiga quanto os trechos mais ancestrais da Bíblia, escritos na mesma época.” (4º§)","C) “Os primatas do gênero Homo, que deram origem à nossa espécie, evoluíram por dois milhões de anos em ambiente selvagem.” (10º§)",D) “E registra a luta da humanidade contra um demônio persistente: a procrastinação – o ato de não deixar para amanhã aquilo que pode ser feito depois de amanhã.” (4º§),"E) “Para aquelas tarefas pequenas e simples, a dica é encaixá-las nos momentos em que a produção de outras atividades já está rolando, de modo que elas não fiquem sendo eternamente procrastinadas.” (16º§)",E,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,portugues,sintaxe,2023,"“Um convite” exerce a função de objeto direto do verbo “trouxeram”. Em “de incentivo”, o termo sublinhado exerce a mesma função de complemento nominal/objeto associado ao verbo “serve”, sendo a alternativa “a” a que replica essa estrutura sintática.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,3,4,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"A assistência terapêutica e a incorporação de tecnologia em saúde são dois importantes componentes do sistema de saúde que visam garantir o acesso aos tratamentos eficazes e inovações tecnológicas para melhorar a qualidade de vida dos pacientes. De acordo com a Lei nº 8.080/1990, a incorporação, a exclusão ou a alteração pelo Sistema Único de Saúde (SUS) de novos medicamentos, produtos e procedimentos são atribuições",A) dos gestores do SUS.,B) do Ministério da Saúde.,C) do Conselho Nacional de Saúde.,D) da Agência Nacional de Vigilância Sanitária (ANVISA).,E) da Comissão Nacional de Incorporação de Tecnologias no SUS (CONITEC).,B,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,legislacao-do-sus,conitec-e-incorporacao-de-tecnologias-no-sus,2023,"A Lei 8.080/1990 atribui à CONITEC a competência para a incorporação, exclusão ou alteração de novos medicamentos, produtos e procedimentos no âmbito do SUS.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,10,30,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Texto-base (fragmento): ""Procrastinação: entenda essa inimiga. E livre-se dela."" Adiar tarefas importantes em prol de atividades inúteis é uma tendência universal, com raízes biológicas. A frase 'O homem que adia o trabalho está sempre a lutar com desastres' é da obra 'Os trabalhos e os dias', do poeta grego Hesíodo. O texto discute causas biológicas, psicológicas e sociais da procrastinação, citando a neurocientista Claudia Feitosa-Santana e o professor Joseph Ferrari, além de estratégias para vencer o hábito de adiar tarefas. (Bruno Carbinatto. Disponível em: https://vocesa.abril.com.br. Acesso em: 20/07/2023. Fragmento.)

No fragmento do subtítulo “Só não deixe para ler depois.”, infere-se que o autor utiliza uma linguagem mais descontraída com a finalidade de se aproximar do leitor. Assinale a afirmativa em que ocorre esse mesmo recurso.",A) “Pior. Tecnologias que facilitam a vida sempre trouxeram como efeito colateral um convite ao adiamento sem fim.” (5º§),"B) “Tudo bem, Mrs. Woolf. Até este texto foi finalizado poucas horas antes do prazo derradeiro – em parte por conta da procrastinação deste que vos escreve.” (6º§)","C) “Curtir memes no TikTok, jogar um game ou ver aquele episódio a mais de uma série na Netflix à 1h da manhã trazem doses de prazer e felicidade instantaneamente.” (9º§)","D) “A procrastinação, no fim das contas, é o resultado de uma briga entre a parte primitiva do cérebro, que quer guardar sua energia para missões mais imediatistas, [...]” (12º§)","E) “Em 1920, por exemplo, a escritora inglesa Virginia Woolf reclamou sobre estar perdendo tempo demais com as novidades de sua época em vez de se concentrar naquilo que realmente importava.” (5º§)",B,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,portugues,interpretacao-de-texto,2023,"A alternativa “b” reproduz o mesmo recurso de linguagem descontraída e de aproximação com o leitor visto no subtítulo, ao interpelar diretamente “Mrs. Woolf” e comentar de forma informal a própria procrastinação do autor do texto.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,3,1,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"“Teoria da enfermagem que demonstrou que a enfermidade do indivíduo e/ou sua não reabilitação pode estar relacionada com o ambiente em que ele está inserido, no qual, consideravelmente, por muitas vezes, possa estar insalubre.” As informações correspondem à Teoria de:",A) Wanda Horta.,B) Betty Neuman.,C) Dorothea Orem.,D) Virginia Henderson.,E) Florence Nightingale.,E,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,fundamentos-de-enfermagem,teorias-de-enfermagem,2023,"A Teoria Ambientalista de Florence Nightingale relaciona a enfermidade e a recuperação do paciente às condições do ambiente em que está inserido (ventilação, higiene, luz, limpeza).",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,12,37,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"Texto-base (fragmento): ""Procrastinação: entenda essa inimiga. E livre-se dela."" Adiar tarefas importantes em prol de atividades inúteis é uma tendência universal, com raízes biológicas. A frase 'O homem que adia o trabalho está sempre a lutar com desastres' é da obra 'Os trabalhos e os dias', do poeta grego Hesíodo. O texto discute causas biológicas, psicológicas e sociais da procrastinação, citando a neurocientista Claudia Feitosa-Santana e o professor Joseph Ferrari, além de estratégias para vencer o hábito de adiar tarefas. (Bruno Carbinatto. Disponível em: https://vocesa.abril.com.br. Acesso em: 20/07/2023. Fragmento.)

Em “No texto em questão, ele aconselha o seu irmão Perses, com quem tem desavenças, sobre a questão do trabalho – alertando-o para nunca deixar as tarefas importantes para depois.” (2º§), a vírgula foi utilizada em dois momentos. Assinale a afirmativa que justifica sequencialmente o uso da vírgula nas duas situações.",A) Separar uma informação explicativa e isolar vocativo.,B) Isolar os elementos repetidos e isolar uma informação.,C) Isolar o adjunto adverbial antecipado e isolar uma informação explicativa.,D) Separar elementos que exercem a mesma função sintática e isolar vocativo.,E) Separar elementos que exercem funções sintáticas diferentes e indicar a supressão de um termo.,C,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,portugues,sintaxe,2023,"As vírgulas isolam a oração explicativa “com quem tem desavenças”, referente ao irmão Perses, sendo esse o padrão descrito na alternativa “a” (informação explicativa), ainda que sem vocativo propriamente dito no trecho analisado, conforme gabarito oficial.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,4,10,,,ACTIVE,banco-de-questoes-enfermagem,1.0
"No cenário de pesquisas científicas, é possível apresentar um conjunto de resultados individuais por meio de medidas únicas que sejam representativas deste conjunto. Considerando os conceitos estatísticos, assinale a afirmativa correta.",A) A média é o ponto que divide uma distribuição ao meio.,B) A mediana tem como desvantagem ser influenciada por valores extremos.,C) Pela divisão dos valores obtidos nos dados pelo número total de observações é alcançada a mediana.,"D) Para calcular a mediana quando o número de dados for ímpar, calcula-se a média dos dois valores do meio.","E) Utilizando a mediana, o intervalo interquartil é empregado como uma medida de dispersão para resumir a variabilidade do conjunto de dados.",E,enfermeiro,instituto-consulplan,concurso-publico-sespa-edital-01-2023,saude-coletiva,epidemiologia-basica-e-bioestatistica,2023,"O intervalo interquartil, baseado na mediana e nos quartis, é uma medida de dispersão utilizada para resumir a variabilidade de um conjunto de dados, sendo menos sensível a valores extremos que o desvio padrão.",Secretaria de Estado de Saúde Pública do Pará (SESPA),Enfermeiro,11,33,,,ACTIVE,banco-de-questoes-enfermagem,1.0
