Ano,Orgao,Estado,Banca,Cargo,Edital,Prova,Gabarito definitivo,Link do edital,Link da prova,Link do gabarito,Situacao
2022,SESACRE (Secretaria de Estado de Saude do Acre) - Edital 001/2022,AC,IBFC,Enfermeiro,Sim,Sim,Sim,https://sead.ac.gov.br/wp-content/uploads/2024/12/Edital-no-001-SESACRE-Abertura-do-concurso-24-06-22.pdf,https://concursos.ibfc.org.br/informacoes/402/,https://concursos.ibfc.org.br/informacoes/402/,VALIDADO
2021,Grupo Hospitalar Conceicao (GHC),RS,Fundatec,Enfermeiro Intensivista Adulto,Sim,Sim,Sim,https://www.fundatec.org.br/portal/concursos/publicacoes_v2.php?concurso=617,https://www.fundatec.org.br/portal/concursos/publicacoes_v2.php?concurso=617,https://www.fundatec.org.br/portal/concursos/publicacoes_v2.php?concurso=617,VALIDADO
2021,SESAU (Secretaria de Estado da Saude de Alagoas),AL,Cebraspe,Enfermeiro,Sim,Sim,Sim,https://cdn.cebraspe.org.br/concursos/sesau_al_21/arquivos/ED_SESAU_AL_21_ABERTURA.PDF,https://arquivos.qconcursos.com/prova/arquivo_prova/116269/cespe-cebraspe-2021-sesau-al-enfermeiro-prova.pdf,https://www.cebraspe.org.br/concursos/sesau_al_21,VALIDADO
2021,Prefeitura Municipal de Joao Pessoa,PB,Instituto AOCP,Enfermeiro,Sim,Sim,Sim,https://www.institutoaocp.org.br,https://www.qconcursos.com/questoes-de-concursos/provas/instituto-aocp-2021-prefeitura-de-joao-pessoa-pb-enfermeiro,https://www.institutoaocp.org.br,VALIDADO
2021,Fundacao Municipal de Saude de Niteroi (FMS),RJ,COSEAC/UFF,Enfermeiro,Sim,Sim,Sim,https://saude.niteroi.rj.gov.br/concurso-publico/,https://portal.coseac.uff.br,https://portal.coseac.uff.br,VALIDADO
2020,Empresa Brasileira de Servicos Hospitalares (EBSERH) - Nacional - Edital 01/2019,Nacional,IBFC,Enfermeiro,Sim,Sim,Sim,https://concursos.ibfc.org.br/informacoes/360/,https://concursos.ibfc.org.br/informacoes/360/,https://concursos.ibfc.org.br/informacoes/360/,"VALIDADO (ja produzido nesta sessao)"
2018,Empresa Brasileira de Servicos Hospitalares (EBSERH) - Nacional - Area Assistencial,Nacional,Cebraspe,Enfermeiro,Sim,Sim,Sim,http://www.cespe.unb.br/concursos/EBSERH_18_ASSISTENCIAL/arquivos/ED_3_EBSEHR_ASSISTENCIAL___ABERTURA.PDF,https://www.cebraspe.org.br/concursos/EBSERH_18_ASSISTENCIAL,https://www.cebraspe.org.br/concursos/EBSERH_18_ASSISTENCIAL,VALIDADO
2018,SES-DF (Secretaria de Estado de Saude do Distrito Federal) - Edital 08/2018,DF,IADES,Enfermeiro de Familia e Comunidade,Sim,Sim,Sim,https://www.iades.com.br/inscricao/upload/208/201803065917891.pdf,https://www.pciconcursos.com.br/provas/download/enfermeiro-de-familia-e-comunidade-ses-df-iades-2018,https://www.iades.com.br,VALIDADO
2018,SES-PE (Secretaria Estadual de Saude de Pernambuco) - Analista em Saude,PE,Instituto AOCP,Enfermeiro (Analista em Saude - Enfermeiro),Sim,Sim,Sim,https://www.institutoaocp.org.br,https://eticaconcursos.com.br/provas/instituto-aocp-2018-ses-pe-analista-em-saude-enfermeiro,https://www.institutoaocp.org.br,VALIDADO
2018,Prefeitura Municipal de Joao Pessoa - Edital 001/2018,PB,Instituto AOCP,Enfermeiro,Sim,Sim,Sim,https://www.institutoaocp.org.br,https://www.aprovaconcursos.com.br/questoes-de-concurso/prova/instituto-aocp-2018-prefeitura-de-joao-pessoa-pb-enfermeiro,https://www.institutoaocp.org.br,VALIDADO
2019,Secretaria de Saude do Recife (SESAU) - Edital 001/2019,PE,Instituto AOCP,Enfermeiro,Sim,Sim,Sim,https://www2.recife.pe.gov.br/sites/default/files/concurso_sesau_-_edital_e_anexos.pdf,https://www.institutoaocp.org.br,https://www.institutoaocp.org.br,VALIDADO
2016,Empresa Brasileira de Servicos Hospitalares (EBSERH) - Nacional,Nacional,Instituto AOCP,Enfermeiro - Urgencia e Emergencia,Sim,Sim,Sim,https://www.institutoaocp.org.br/concursos/57,https://www.estudegratis.com.br/provas/instituto-aocp-2016-ebserh-enfermeiro-urgencia-e-emergencia-nacional,https://www.institutoaocp.org.br/concursos/57,VALIDADO
2016,Empresa Brasileira de Servicos Hospitalares (EBSERH) - Nacional,Nacional,Instituto AOCP,Enfermeiro - Saude Mental,Sim,Sim,Sim,https://www.institutoaocp.org.br/concursos/57,https://www.qconcursos.com/questoes-de-concursos/provas/instituto-aocp-2016-ebserh-enfermeiro-saude-mental-nacional,https://www.institutoaocp.org.br/concursos/57,VALIDADO
2016,Empresa Brasileira de Servicos Hospitalares (EBSERH) - Nacional,Nacional,Instituto AOCP,Enfermeiro - Vigilancia,Sim,Sim,Sim,https://www.institutoaocp.org.br/concursos/57,https://www.estudegratis.com.br/provas/instituto-aocp-2016-ebserh-enfermeiro-vigilancia-nacional,https://www.institutoaocp.org.br/concursos/57,VALIDADO
2015,Prefeitura Municipal de Fernandopolis - Edital 03/2015,SP,IBFC,Enfermeiro,Sim,Sim,Sim,https://concursos.ibfc.org.br/informacoes/261/,https://concursos.ibfc.org.br/informacoes/261/,https://concursos.ibfc.org.br/informacoes/261/,VALIDADO
2014,Prefeitura Municipal de Belo Horizonte - Edital 07/2014,MG,IBFC,Enfermeiro,Sim,Sim,Sim,https://concursos.ibfc.org.br/informacoes/246/,https://concursos.ibfc.org.br/informacoes/246/,https://concursos.ibfc.org.br/informacoes/246/,VALIDADO
2014,SUSAM / Secretaria de Estado de Saude do Amazonas,AM,FGV,Enfermeiro,Sim,Sim,Sim,https://conhecimento.fgv.br/concursos,https://conhecimento.fgv.br/concursos,https://conhecimento.fgv.br/concursos,VALIDADO
2013,Secretaria da Saude do Estado do Rio Grande do Sul - Edital 01/2013,RS,Fundatec,Enfermeiro,Sim,Sim,Sim,https://saude.rs.gov.br/upload/arquivos/201702/07102500-edital-01-2013-com-anexos.pdf,https://www.fundatec.org.br/portal/concursos/index_concursos.php?concurso=267,https://www.fundatec.org.br/portal/concursos/index_concursos.php?concurso=267,VALIDADO
2013,Empresa Brasileira de Servicos Hospitalares (EBSERH) - Nacional - Edital 03/2013,Nacional,IBFC,Enfermeiro (Area Assistencial),Sim,Sim,Sim,https://concursos.ibfc.org.br/informacoes/90/,https://concursos.ibfc.org.br/informacoes/90/,https://concursos.ibfc.org.br/informacoes/90/,VALIDADO
2023,Empresa Brasileira de Servicos Hospitalares (EBSERH) - Nacional - Edital 01/2023,Nacional,IBFC,Enfermeiro,Sim,Sim,Sim,https://concursos.ibfc.org.br/informacoes/434/,https://concursos.ibfc.org.br/informacoes/434/,https://concursos.ibfc.org.br/informacoes/434/,"VALIDADO (ja produzido nesta sessao)"
