id,status,organization,contest,year,board,position,questions,pdf,answer_key,imported,reviewed,approved,package,observations,verified,pdf_available,answer_key_available
ses-pe-2025,PLANNED,SES-PE,ses-pe,2025,Instituto Consulplan,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Pernambuco",,,
ses-pe-2024,PLANNED,SES-PE,ses-pe,2024,Instituto Consulplan,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Pernambuco",,,
ses-pe-2023,PLANNED,SES-PE,ses-pe,2023,Instituto Consulplan,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Pernambuco",,,
ses-pr-2025,PLANNED,SES-PR,ses-pr,2025,UFPR / NC,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Paraná",,,
ses-pr-2024,PLANNED,SES-PR,ses-pr,2024,UFPR / NC,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Paraná",,,
ses-pr-2023,PLANNED,SES-PR,ses-pr,2023,UFPR / NC,enfermeiro,0,,,false,false,false,,"Concurso estadual de enfermagem — Paraná",,,
pref-sao-paulo-2025,PLANNED,Prefeitura de São Paulo,prefeitura-sao-paulo,2025,vunesp,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — capital paulista",,,
pref-sao-paulo-2024,PLANNED,Prefeitura de São Paulo,prefeitura-sao-paulo,2024,vunesp,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — capital paulista",,,
pref-sao-paulo-2023,PLANNED,Prefeitura de São Paulo,prefeitura-sao-paulo,2023,vunesp,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — capital paulista",,,
pref-rio-de-janeiro-2025,PLANNED,Prefeitura do Rio de Janeiro,prefeitura-rio-de-janeiro,2025,fgv,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — capital fluminense",,,
pref-rio-de-janeiro-2024,PLANNED,Prefeitura do Rio de Janeiro,prefeitura-rio-de-janeiro,2024,fgv,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — capital fluminense",,,
pref-rio-de-janeiro-2023,PLANNED,Prefeitura do Rio de Janeiro,prefeitura-rio-de-janeiro,2023,fgv,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — capital fluminense",,,
pref-belo-horizonte-2025,PLANNED,Prefeitura de Belo Horizonte,prefeitura-belo-horizonte,2025,fgv,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — Belo Horizonte",,,
pref-belo-horizonte-2024,PLANNED,Prefeitura de Belo Horizonte,prefeitura-belo-horizonte,2024,fgv,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — Belo Horizonte",,,
pref-curitiba-2025,PLANNED,Prefeitura de Curitiba,prefeitura-curitiba,2025,UFPR / NC,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — Curitiba",,,
pref-curitiba-2024,PLANNED,Prefeitura de Curitiba,prefeitura-curitiba,2024,UFPR / NC,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — Curitiba",,,
pref-salvador-2025,PLANNED,Prefeitura de Salvador,prefeitura-salvador,2025,idib,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — Salvador",,,
pref-salvador-2024,PLANNED,Prefeitura de Salvador,prefeitura-salvador,2024,idib,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — Salvador",,,
pref-recife-2025,PLANNED,Prefeitura de Recife,prefeitura-recife,2025,idib,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — Recife",,,
pref-recife-2024,PLANNED,Prefeitura de Recife,prefeitura-recife,2024,idib,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — Recife",,,
pref-fortaleza-2025,PLANNED,Prefeitura de Fortaleza,prefeitura-fortaleza,2025,idib,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — Fortaleza",,,
pref-fortaleza-2024,PLANNED,Prefeitura de Fortaleza,prefeitura-fortaleza,2024,idib,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — Fortaleza",,,
pref-goiania-2025,PLANNED,Prefeitura de Goiânia,prefeitura-goiania,2025,quadrix,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — Goiânia",,,
pref-goiania-2024,PLANNED,Prefeitura de Goiânia,prefeitura-goiania,2024,quadrix,enfermeiro,0,,,false,false,false,,"Concurso municipal de enfermagem — Goiânia",,,
hu-hc-fmusp-2025,PLANNED,HC-FMUSP,hc-fmusp,2025,fgv,enfermeiro,0,,,false,false,false,,"Hospital das Clínicas — USP — concurso de enfermagem",,,
hu-hc-fmusp-2024,PLANNED,HC-FMUSP,hc-fmusp,2024,fgv,enfermeiro,0,,,false,false,false,,"Hospital das Clínicas — USP — concurso de enfermagem",,,
hu-hc-fmusp-2023,PLANNED,HC-FMUSP,hc-fmusp,2023,fgv,enfermeiro,0,,,false,false,false,,"Hospital das Clínicas — USP — concurso de enfermagem",,,
hu-hc-ufrj-2025,PLANNED,HC-UFRJ,hc-ufrj,2025,fgv,enfermeiro,0,,,false,false,false,,"Hospital Universitário Clementino Fraga Filho — UFRJ",,,
hu-hc-ufrj-2024,PLANNED,HC-UFRJ,hc-ufrj,2024,fgv,enfermeiro,0,,,false,false,false,,"Hospital Universitário Clementino Fraga Filho — UFRJ",,,
hu-hu-ufmg-2025,PLANNED,HU-UFMG,hu-ufmg,2025,fgv,enfermeiro,0,,,false,false,false,,"Hospital das Clínicas — UFMG",,,
hu-hu-ufmg-2024,PLANNED,HU-UFMG,hu-ufmg,2024,fgv,enfermeiro,0,,,false,false,false,,"Hospital das Clínicas — UFMG",,,
hu-hcpa-ufrgs-2025,PLANNED,HCPA-UFRGS,hcpa-ufrgs,2025,fgv,enfermeiro,0,,,false,false,false,,"Hospital de Clínicas de Porto Alegre — UFRGS",,,
hu-hcpa-ufrgs-2024,PLANNED,HCPA-UFRGS,hcpa-ufrgs,2024,fgv,enfermeiro,0,,,false,false,false,,"Hospital de Clínicas de Porto Alegre — UFRGS",,,
hu-hu-ufpe-2025,PLANNED,HU-UFPE,hu-ufpe,2025,idib,enfermeiro,0,,,false,false,false,,"Hospital das Clínicas — UFPE",,,
hu-hu-ufpe-2024,PLANNED,HU-UFPE,hu-ufpe,2024,idib,enfermeiro,0,,,false,false,false,,"Hospital das Clínicas — UFPE",,,
hu-hu-unifesp-2025,PLANNED,HU-Unifesp,hu-unifesp,2025,vunesp,enfermeiro,0,,,false,false,false,,"Hospital Universitário da UNIFESP",,,
hu-hu-unifesp-2024,PLANNED,HU-Unifesp,hu-unifesp,2024,vunesp,enfermeiro,0,,,false,false,false,,"Hospital Universitário da UNIFESP",,,
hu-hu-unicamp-2025,PLANNED,HU-Unicamp,hu-unicamp,2025,fgv,enfermeiro,0,,,false,false,false,,"Hospital de Clínicas — Unicamp",,,
hu-hu-unicamp-2024,PLANNED,HU-Unicamp,hu-unicamp,2024,fgv,enfermeiro,0,,,false,false,false,,"Hospital de Clínicas — Unicamp",,,
hu-hu-ufba-2025,PLANNED,HU-UFBA,hu-ufba,2025,idib,enfermeiro,0,,,false,false,false,,"Hospital Universitário Professor Edgard Santos — UFBA",,,
hu-hu-ufba-2024,PLANNED,HU-UFBA,hu-ufba,2024,idib,enfermeiro,0,,,false,false,false,,"Hospital Universitário Professor Edgard Santos — UFBA",,,
hu-hu-ufpr-2025,PLANNED,HU-UFPR,hu-ufpr,2025,UFPR / NC,enfermeiro,0,,,false,false,false,,"Hospital de Clínicas — UFPR",,,
hu-hu-ufpr-2024,PLANNED,HU-UFPR,hu-ufpr,2024,UFPR / NC,enfermeiro,0,,,false,false,false,,"Hospital de Clínicas — UFPR",,,
fa-marinha-2025,PLANNED,Marinha do Brasil,marinha,2025,cebraspe,enfermeiro,0,,,false,false,false,,"Concurso de enfermagem — Força Naval",,,
fa-marinha-2024,PLANNED,Marinha do Brasil,marinha,2024,cebraspe,enfermeiro,0,,,false,false,false,,"Concurso de enfermagem — Força Naval",,,
fa-marinha-2023,PLANNED,Marinha do Brasil,marinha,2023,cebraspe,enfermeiro,0,,,false,false,false,,"Concurso de enfermagem — Força Naval",,,
fa-exercito-2025,PLANNED,Exército Brasileiro,exercito,2025,cebraspe,enfermeiro,0,,,false,false,false,,"Concurso de enfermagem — Força Terrestre",,,
fa-exercito-2024,PLANNED,Exército Brasileiro,exercito,2024,cebraspe,enfermeiro,0,,,false,false,false,,"Concurso de enfermagem — Força Terrestre",,,
fa-exercito-2023,PLANNED,Exército Brasileiro,exercito,2023,cebraspe,enfermeiro,0,,,false,false,false,,"Concurso de enfermagem — Força Terrestre",,,
fa-aeronautica-2025,PLANNED,Força Aérea Brasileira,aeronautica,2025,cebraspe,enfermeiro,0,,,false,false,false,,"Concurso de enfermagem — Força Aérea",,,
fa-aeronautica-2024,PLANNED,Força Aérea Brasileira,aeronautica,2024,cebraspe,enfermeiro,0,,,false,false,false,,"Concurso de enfermagem — Força Aérea",,,
fa-aeronautica-2023,PLANNED,Força Aérea Brasileira,aeronautica,2023,cebraspe,enfermeiro,0,,,false,false,false,,"Concurso de enfermagem — Força Aérea",,,
